日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2022年01月,台中市,438440377,16%,445652183,17%,12046373,0%,1801398252,67%,2697537185,15%
2022年01月,高雄市,457046599,19%,411141703,17%,20303255,1%,1556342971,64%,2444834528,14%
2022年01月,台南市,286014043,12%,230691274,10%,31931845,1%,1871433661,77%,2420070823,14%
2022年01月,桃園市,341501074,15%,318521890,14%,3371649,0%,1600654456,71%,2264049069,13%
2022年01月,新北市,601310915,38%,487102083,31%,2346969,0%,491466480,31%,1582226447,9%
2022年01月,台北市,376095933,34%,682419561,61%,970128,0%,51746568,5%,1111232190,6%
2022年01月,彰化縣,177236083,19%,176252311,19%,36262910,4%,533467526,58%,923218830,5%
2022年01月,新竹縣,88729452,10%,78408345,9%,1723660,0%,678447351,80%,847308808,5%
2022年01月,新竹市,78574907,10%,90578610,11%,683014,0%,642742797,79%,812579328,5%
2022年01月,苗栗縣,80118715,13%,54906997,9%,2277205,0%,491004374,78%,628307291,4%
2022年01月,雲林縣,98828427,22%,66836227,15%,31143273,7%,249988106,56%,446796033,3%
2022年01月,屏東縣,126395421,33%,88697749,23%,63160296,16%,106573727,28%,384827193,2%
2022年01月,宜蘭縣,68506019,25%,64148049,23%,4850539,2%,139645968,50%,277150575,2%
2022年01月,嘉義縣,69737214,29%,42547799,18%,19406786,8%,108552271,45%,240244070,1%
2022年01月,南投縣,63825517,29%,51244048,23%,8073734,4%,100469168,45%,223612467,1%
2022年01月,花蓮縣,47647936,24%,56710109,28%,2042908,1%,94671810,47%,201072763,1%
2022年01月,基隆市,48801795,46%,38874209,37%,5692,0%,17345884,17%,105027580,1%
2022年01月,嘉義市,38395015,45%,39472078,46%,501971,1%,7215148,8%,85584212,0%
2022年01月,台東縣,30253338,42%,29386347,41%,2525900,3%,10235421,14%,72401006,0%
2022年01月,澎湖縣,14316541,42%,15447186,45%,360635,1%,4179826,12%,34304188,0%
2022年01月,金門縣,10409124,45%,9633747,42%,313238,1%,2621195,11%,22977304,0%
2022年01月,連江縣,2687760,42%,3010294,47%,5704,0%,673180,11%,6376938,0%
